country,year,tonnes,type,mineral,fobvalue,trade_concentration_index,stability_index,political_risk_index,stability_scaled,trade_scaled,risk_scaled,risk_score
Australia,2023,4600.0,mine,cobalt,1759279950.2949998,0.014813381169919156,79.620849609375,-78.620849609375,0.97530861421904,0.014813381169919156,0.024691385780960085,0.02172798439764776
Canada,2023,2100.0,mine,cobalt,1787263857.337,0.015050493549163307,76.3033142089844,-75.3033142089844,0.9320987387876148,0.015050493549163307,0.06790126121238538,0.05204603091341867
Indonesia,2023,17000.0,mine,cobalt,491630254.716,0.004072370812940153,28.9099521636963,-27.9099521636963,0.314814814699803,0.004072370812940153,0.6851851853001971,0.48085134095402005
Madagascar,2023,4000.0,mine,cobalt,121151641.43,0.0009332428375836879,19.9052124023438,-18.9052124023438,0.19753085645337923,0.0009332428375836879,0.8024691435466209,0.5620083733339097
Philippines,2023,3800.0,mine,cobalt,234904847.0,0.001897092995421546,23.6966819763184,-22.6966819763184,0.24691357833004487,0.001897092995421546,0.7530864216699553,0.5277296230675951
Türkiye,2023,2800.0,mine,cobalt,1254953400.0,0.010540136977213475,13.7440757751465,-12.7440757751465,0.11728395203576766,0.010540136977213475,0.8827160479642324,0.6210632746681267
United States,2023,500.0,mine,cobalt,22797374015.0,0.19307271182584046,47.3933639526367,-46.3933639526367,0.5555555527952637,0.19307271182584046,0.4444444472047364,0.36903292659106757
Australia,2023,810000.0,mine,copper,8260974936.3810005,0.06990334287386696,79.620849609375,-78.620849609375,0.97530861421904,0.06990334287386696,0.024691385780960085,0.0382549729088321
Canada,2023,480000.0,mine,copper,8392579789.651,0.07101845306316583,76.3033142089844,-75.3033142089844,0.9320987387876148,0.07101845306316583,0.06790126121238538,0.06883641876761942
Chile,2023,5000000.0,mine,copper,43831076428.985,0.37129483128214386,50.2369651794434,-49.2369651794434,0.59259258178145,0.37129483128214386,0.4074074182185501,0.39657364213762814
China,2023,1700000.0,mine,copper,102157182967.0,0.865501800756415,25.1184825897217,-24.1184825897217,0.26543209282313734,0.865501800756415,0.7345679071768627,0.7738480752507284
Germany,2023,0.0,mine,copper,12723693843.038,0.10771671526204468,66.3507080078125,-65.3507080078125,0.8024691124933375,0.10771671526204468,0.1975308875066626,0.17058663583327716
